Ticker,Historical Mean Optimization,ML Prediction Optimization,Equal Weight Portfolio,Historical Annual Return,ML Annualized Predicted Return
INFY.NS,5.360148288252164e-16,0.2177065297714069,0.05,0.024967122772844977,0.45933049173457796
HDFCBANK.NS,0.0,0.2142834952348708,0.05,0.05893856697447582,0.33420743695821215
TCS.NS,0.0,0.196632815653499,0.05,-0.0014811934384252312,0.3925585860034005
MARUTI.NS,1.7026179662384838e-16,0.1735905579877442,0.05,0.182813079554095,0.33201315798813225
ITC.NS,0.0,0.12545604034864324,0.05,0.1561991081157054,0.24883211288864804
CIPLA.NS,0.0,0.07233056100383621,0.05,0.12181556718068988,0.19988683698180254
TITAN.NS,0.14559956929891485,9.00788397467534e-16,0.05,0.25708001365086713,0.053485483677173734
BHARTIARTL.NS,0.29769162892235607,5.818452181954392e-16,0.05,0.27494251771562234,0.2324667249478881
DRREDDY.NS,0.0,5.380361339050288e-16,0.05,0.07878459078201584,0.11447401271482649
BAJFINANCE.NS,0.0,3.485585428450553e-16,0.05,0.16061073025101757,0.19423578856472812
ASIANPAINT.NS,5.305708368817945e-16,3.2644903023823766e-16,0.05,0.03208064832406823,0.23513829230002914
KOTAKBANK.NS,3.1009434917797625e-16,3.0203378651964006e-16,0.05,0.037397065188559064,0.2566072106210796
BAJAJFINSV.NS,1.6948123596726746e-16,2.0562420485393726e-16,0.05,0.14021102528469873,0.2359916812288783
HINDUNILVR.NS,0.0,1.800799225284977e-16,0.05,0.031090680750587144,0.20865378780274219
LT.NS,0.10327355376476029,0.0,0.05,0.26447516240508817,0.15129119801912455
SUNPHARMA.NS,0.2669639256637416,0.0,0.05,0.2356535584849245,0.09491808032328655
AXISBANK.NS,0.0,0.0,0.05,0.15108127836882626,0.15454453476710894
SBIN.NS,0.18647132235022731,0.0,0.05,0.27703068915298457,0.08040008635227258
ICICIBANK.NS,0.0,0.0,0.05,0.17944106391605916,0.21623930142990774
RELIANCE.NS,8.307774614385656e-16,0.0,0.05,0.12629324703436556,0.18726579584305053
